surface_m2,nb_pieces,age_annees,distance_centre_km,price
28.8,1.0,16.3,7.32,87456.0
59.5,3.0,,4.59,211951.0
47.5,1.0,,29.96,62017.0
54.5,,71.4,17.75,142805.0
76.2,3.0,13.7,13.72,238592.0
40.7,2.0,30.9,16.05,89252.0
85.4,4.0,,13.8,274847.0
82.0,4.0,45.3,24.19,219482.0
105.1,4.0,16.9,22.1,326961.0
33.2,,24.1,6.92,94640.0
83.5,5.0,24.7,13.83,251115.0
73.1,2.0,78.4,,209144.0
81.2,3.0,25.3,7.43,281177.0
80.0,3.0,93.3,4.32,252493.0
93.6,4.0,96.9,26.94,231021.0
109.3,5.0,80.5,12.24,329623.0
44.3,2.0,1.6,5.76,142919.0
126.9,6.0,56.3,,359363.0
98.8,4.0,20.3,6.52,313942.0
38.9,2.0,74.8,,96511.0
78.5,4.0,38.2,12.46,253548.0
69.9,2.0,8.7,15.22,229668.0
29.0,2.0,8.7,14.46,88418.0
85.0,5.0,10.5,14.74,285531.0
,3.0,,1.49,248050.0
85.8,4.0,90.7,20.99,255123.0
65.2,4.0,65.5,,203530.0
75.2,,6.2,27.15,211057.0
102.3,4.0,78.1,4.54,328318.0
85.9,4.0,78.3,22.2,243353.0
57.9,2.0,45.2,7.48,195081.0
43.0,1.0,75.5,28.77,48368.0
95.9,5.0,,17.52,281998.0
84.8,4.0,14.3,,256737.0
101.2,4.0,62.4,,338953.0
88.9,,,,260271.0
133.4,6.0,17.5,29.42,378316.0
35.1,1.0,,0.3,117944.0
94.4,5.0,37.8,13.17,312060.0
113.1,5.0,92.4,,363771.0
39.8,1.0,8.5,18.89,97230.0
,4.0,6.2,2.57,234842.0
5.1,4.0,97.6,,300156.0
42.5,2.0,51.4,,80905.0
185.3,9.0,63.4,,563854.0
44.1,2.0,16.5,,160787.0
47.0,2.0,72.6,7.35,135698.0
54.4,,,22.95,106734.0
122.4,6.0,,10.81,398594.0
97.5,4.0,17.4,4.41,335710.0
70.9,3.0,81.4,10.65,214415.0
52.7,2.0,94.0,28.52,87483.0
92.9,5.0,44.4,,280040.0
42.1,1.0,5.5,23.73,106876.0
49.8,,32.0,10.19,172745.0
170.5,8.0,84.4,13.23,510252.0
91.4,5.0,33.5,7.57,322953.0
126.5,5.0,6.5,3.44,423981.0
44.2,2.0,,,130127.0
,5.0,7.2,22.19,371015.0
103.9,6.0,26.9,6.25,376708.0
41.2,2.0,88.9,29.51,60884.0
49.3,1.0,18.5,23.37,113054.0
115.9,5.0,,14.45,362951.0
79.2,3.0,74.9,,210045.0
59.1,,23.2,19.25,166412.0
40.7,2.0,87.2,,65680.0
